game_id,n_stints,negative_durations,zero_durations,bad_home_lineup_size,bad_away_lineup_size,total_seconds,boundary_issues,period_start_home_size_issues,period_start_away_size_issues,status,reason
0022400001,32,0,3,0,0,2880.0,0,0,0,success,
0022400002,39,0,3,0,0,3180.0,0,0,0,success,
0022400003,35,0,3,0,0,2880.0,0,0,0,success,
0022400004,34,0,3,0,0,2880.0,0,0,0,success,
0022400005,33,0,2,0,0,2880.0,0,0,0,success,
0022400006,31,0,3,0,0,2879.9999999999995,0,0,0,success,
0022400007,37,0,3,0,0,2880.0,0,0,0,success,
0022400008,33,0,3,0,0,2880.0,0,0,0,success,
0022400009,26,0,2,0,0,2880.0,0,0,0,success,
0022400010,32,0,2,0,0,2880.0,0,0,0,success,
0022400011,37,0,3,0,0,2880.0,0,0,0,success,
0022400012,29,0,3,0,0,2880.0,0,0,0,success,
0022400013,41,0,3,0,0,2880.0,0,0,0,success,
0022400014,31,0,3,0,0,2880.0,0,0,0,success,
0022400015,38,0,3,0,0,2880.0,0,0,0,success,
0022400016,29,0,3,0,0,2880.0,0,0,0,success,
0022400017,30,0,3,0,0,2880.0,0,0,0,success,
0022400018,36,0,3,0,0,2880.0,0,0,0,success,
0022400019,43,0,3,0,0,2880.0,0,0,0,success,
0022400020,35,0,4,0,0,3180.0,0,0,0,success,
0022400021,26,0,3,0,0,2880.0,0,0,0,success,
0022400022,41,0,2,0,0,2880.0,0,0,0,success,
0022400023,45,0,3,0,0,2880.0,0,0,0,success,
0022400024,32,0,3,0,0,2880.0,0,0,0,success,
0022400025,31,0,3,0,0,2880.0,0,0,0,success,
0022400026,34,0,3,0,0,2880.0,0,0,0,success,
0022400027,31,0,3,0,0,2880.0,0,0,0,success,
0022400028,36,0,3,0,0,2880.0,0,0,0,success,
0022400029,28,0,3,0,0,2880.0,0,0,0,success,
0022400030,30,0,3,0,0,2880.0,0,0,0,success,
0022400031,30,0,2,0,0,2880.0,0,0,0,success,
0022400032,40,0,3,0,0,2880.0,0,0,0,success,
0022400033,47,0,3,0,0,2880.0,0,0,0,success,
0022400034,30,0,3,0,0,2880.0,0,0,0,success,
0022400035,32,0,3,0,0,2880.0,0,0,0,success,
0022400036,35,0,3,0,0,2880.0,0,0,0,success,
0022400037,34,0,3,0,0,3180.0000000000005,0,0,0,success,
0022400038,30,0,3,0,0,2880.0,0,0,0,success,
0022400039,32,0,3,0,0,2880.0,0,0,0,success,
0022400040,32,0,3,0,0,2880.0,0,0,0,success,
0022400041,33,0,3,0,0,2880.0,0,0,0,success,
0022400042,37,0,3,0,0,2880.0,0,0,0,success,
0022400043,31,0,3,0,0,2880.0,0,0,0,success,
0022400044,26,0,3,0,0,2880.0,0,0,0,success,
0022400045,37,0,3,0,0,2879.9999999999995,0,0,0,success,
0022400046,37,0,3,0,0,2880.0,0,0,0,success,
0022400047,26,0,2,0,0,2880.0000000000005,0,0,0,success,
0022400048,31,0,3,0,0,2880.0,0,0,0,success,
0022400049,30,0,3,0,0,2880.0,0,0,0,success,
0022400050,31,0,3,0,0,2880.0,0,0,0,success,
0022400051,33,0,3,0,0,2880.0,0,0,0,success,
0022400052,37,0,3,0,0,2880.0,0,0,0,success,
0022400053,30,0,2,0,0,2880.0,0,0,0,success,
0022400054,36,0,3,0,0,2880.0,0,0,0,success,
0022400055,30,0,3,0,0,2880.0,0,0,0,success,
0022400056,45,0,3,0,0,2880.0,0,0,0,success,
0022400057,36,0,3,0,0,2879.9999999999995,0,0,0,success,
0022400058,38,0,3,0,0,2880.0,0,0,0,success,
0022400059,31,0,3,0,0,2880.0,0,0,0,success,
0022400060,32,0,3,0,0,2880.0,0,0,0,success,
0022400061,23,0,2,0,0,2880.0,0,0,0,success,
0022400062,34,0,3,0,0,2880.0,0,0,0,success,
0022400063,44,0,3,0,0,2880.0,0,0,0,success,
0022400064,33,0,2,0,0,2880.0,0,0,0,success,
0022400065,29,0,2,0,0,2880.0,0,0,0,success,
0022400066,39,0,3,0,0,2880.0,0,0,0,success,
0022400067,34,0,3,0,0,2880.0,0,0,0,success,
0022400068,41,0,3,0,0,2880.0,0,0,0,success,
0022400069,32,0,3,0,0,2880.0,0,0,0,success,
0022400070,44,0,3,0,0,2880.0,0,0,0,success,
0022400071,54,0,4,0,0,3180.0,0,0,0,success,
0022400072,40,0,3,0,0,2880.0,0,0,0,success,
0022400073,33,0,3,0,0,2880.0,0,0,0,success,
0022400074,39,0,3,0,0,2880.0,0,0,0,success,
0022400075,34,0,3,0,0,2880.0,0,0,0,success,
0022400076,39,0,3,0,0,2880.0000000000005,0,0,0,success,
0022400077,34,0,3,0,0,2880.0,0,0,0,success,
0022400078,45,0,3,0,0,2880.0,0,0,0,success,
0022400079,45,0,3,0,0,2880.0,0,0,0,success,
0022400080,39,0,3,0,0,2880.0,0,0,0,success,
0022400081,32,0,3,0,0,2880.0,0,0,0,success,
0022400082,42,0,3,0,0,2880.0,0,0,0,success,
0022400083,32,0,2,0,0,2880.0,0,0,0,success,
0022400084,31,0,3,0,0,2880.0,0,0,0,success,
0022400085,32,0,3,0,0,2880.0,0,0,0,success,
0022400086,35,0,3,0,0,2880.0,0,0,0,success,
0022400087,31,0,3,0,0,2880.0000000000005,0,0,0,success,
0022400088,37,0,3,0,0,2880.0,0,0,0,success,
0022400089,32,0,3,0,0,2880.0,0,0,0,success,
0022400090,31,0,3,0,0,2880.0,0,0,0,success,
0022400091,41,0,3,0,0,2880.0,0,0,0,success,
0022400092,41,0,3,0,0,2880.0,0,0,0,success,
0022400093,31,0,3,0,0,2880.0,0,0,0,success,
0022400094,35,0,3,0,0,2880.0,0,0,0,success,
0022400095,38,0,3,0,0,2880.0,0,0,0,success,
0022400096,35,0,3,0,0,2880.0,0,0,0,success,
0022400097,42,0,3,0,0,3180.0,0,0,0,success,
0022400098,30,0,3,0,0,2880.0,0,0,0,success,
0022400099,31,0,3,0,0,2880.0,0,0,0,success,
0022400100,31,0,3,0,0,2880.0,0,0,0,success,
0022400101,41,0,3,0,0,2880.0,0,0,0,success,
0022400102,37,0,3,0,0,2880.0,0,0,0,success,
0022400103,37,0,3,0,0,2880.0,0,0,0,success,
0022400104,37,0,3,0,0,2880.0,0,0,0,success,
0022400105,26,0,3,0,0,2880.0,0,0,0,success,
0022400106,43,0,3,0,0,2880.0,0,0,0,success,
0022400107,42,0,4,0,0,3180.0,0,0,0,success,
0022400108,41,0,3,0,0,2880.0,0,0,0,success,
0022400109,34,0,3,0,0,2880.0,0,0,0,success,
0022400110,33,0,3,0,0,2880.0,0,0,0,success,
0022400111,38,0,3,0,0,2880.0,0,0,0,success,
0022400112,42,0,3,0,0,2880.0,0,0,0,success,
0022400113,36,0,3,0,0,3180.0,0,0,0,success,
0022400114,35,0,3,0,0,2880.0,0,0,0,success,
0022400115,32,0,3,0,0,2880.0,0,0,0,success,
0022400116,32,0,3,0,0,2880.0,0,0,0,success,
0022400117,38,0,3,0,0,2880.0,0,0,0,success,
0022400118,32,0,3,0,0,2880.0,0,0,0,success,
0022400119,40,0,4,0,0,3180.0,0,0,0,success,
0022400120,32,0,3,0,0,2880.0,0,0,0,success,
0022400121,33,0,3,0,0,2880.0,0,0,0,success,
0022400122,27,0,3,0,0,2880.0,0,0,0,success,
0022400123,39,0,3,0,0,2879.9999999999995,0,0,0,success,
0022400124,50,0,3,0,0,2880.0,0,0,0,success,
0022400125,29,0,3,0,0,2880.0,0,0,0,success,
0022400126,33,0,3,0,0,2880.0,0,0,0,success,
0022400127,31,0,1,0,0,2880.0,0,0,0,success,
0022400128,39,0,3,0,0,2880.0,0,0,0,success,
0022400129,35,0,3,0,0,2880.0,0,0,0,success,
0022400130,31,0,3,0,0,2880.0,0,0,0,success,
0022400131,40,0,3,0,0,2880.0,0,0,0,success,
0022400132,33,0,3,0,0,2880.0,0,0,0,success,
0022400133,34,0,3,0,0,2880.0,0,0,0,success,
0022400134,28,0,2,0,0,2880.0,0,0,0,success,
0022400135,30,0,3,0,0,2880.0,0,0,0,success,
0022400136,29,0,3,0,0,2880.0,0,0,0,success,
0022400137,40,0,2,0,0,2880.0,0,0,0,success,
0022400138,29,0,3,0,0,2880.0,0,0,0,success,
0022400139,35,0,3,0,0,2880.0,0,0,0,success,
0022400140,34,0,3,0,0,2880.0,0,0,0,success,
0022400141,32,0,3,0,0,2880.0,0,0,0,success,
0022400142,33,0,3,0,0,2880.0,0,0,0,success,
0022400143,39,0,3,0,0,3180.0,0,0,0,success,
0022400144,43,0,4,0,0,3180.0,0,0,0,success,
