GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,WL,PTS
0022400062,2024-10-22,LAL vs. MIN,1610612747,LAL,Los Angeles Lakers,W,110
0022400061,2024-10-22,NYK @ BOS,1610612752,NYK,New York Knicks,L,109
0022400064,2024-10-23,ATL vs. BKN,1610612737,ATL,Atlanta Hawks,W,120
0022400069,2024-10-23,NOP vs. CHI,1610612740,NOP,New Orleans Pelicans,W,123
0022400070,2024-10-23,MEM @ UTA,1610612763,MEM,Memphis Grizzlies,W,126
0022400072,2024-10-23,POR vs. GSW,1610612757,POR,Portland Trail Blazers,L,104
0022400071,2024-10-23,LAC vs. PHX,1610612746,LAC,LA Clippers,L,113
0022400063,2024-10-23,IND @ DET,1610612754,IND,Indiana Pacers,W,115
0022400065,2024-10-23,MIA vs. ORL,1610612748,MIA,Miami Heat,L,97
0022400066,2024-10-23,MIL @ PHI,1610612749,MIL,Milwaukee Bucks,W,124
0022400067,2024-10-23,TOR vs. CLE,1610612761,TOR,Toronto Raptors,L,106
0022400068,2024-10-23,HOU vs. CHA,1610612745,HOU,Houston Rockets,L,105
0022400074,2024-10-24,DAL vs. SAS,1610612742,DAL,Dallas Mavericks,W,120
0022400075,2024-10-24,DEN vs. OKC,1610612743,DEN,Denver Nuggets,L,87
0022400076,2024-10-24,SAC vs. MIN,1610612758,SAC,Sacramento Kings,L,115
0022400073,2024-10-24,WAS vs. BOS,1610612764,WAS,Washington Wizards,L,102
0022400080,2024-10-25,CLE vs. DET,1610612739,CLE,Cleveland Cavaliers,W,113
0022400084,2024-10-25,GSW @ UTA,1610612744,GSW,Golden State Warriors,W,127
0022400081,2024-10-25,IND @ NYK,1610612754,IND,Indiana Pacers,L,98
0022400085,2024-10-25,PHX @ LAL,1610612756,PHX,Phoenix Suns,L,116
0022400082,2024-10-25,HOU vs. MEM,1610612745,HOU,Houston Rockets,W,128
0022400077,2024-10-25,BKN @ ORL,1610612751,BKN,Brooklyn Nets,L,101
0022400086,2024-10-25,NOP @ POR,1610612740,NOP,New Orleans Pelicans,W,105
0022400078,2024-10-25,TOR vs. PHI,1610612761,TOR,Toronto Raptors,W,115
0022400079,2024-10-25,CHA @ ATL,1610612766,CHA,Charlotte Hornets,L,120
