actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,score_after,score_before,diff,leader,lead_change,home_pts,away_pts,run_team,current_run
2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0.0,0.0,0,,Start of 1st Period (1:11 PM EST),period,start,1,0,1,0-0,0-0,0.0,0,False,0.0,0.0,,0.0
4,PT12M00.00S,1,1610612738,BOS,1629674,Queta,N. Queta,0,0,0,,0,0.0,0.0,0,h,Jump Ball Queta vs. Bona: Tip to Edgecombe,Jump Ball,,1,0,2,0-0,0-0,0.0,0,False,0.0,0.0,,0.0
7,PT11M48.00S,1,1610612755,PHI,202331,George,P. George,123,234,26,Missed,1,0.0,0.0,0,v,MISS George 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,3,0-0,0-0,0.0,0,False,0.0,0.0,,0.0
8,PT11M47.00S,1,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,0.0,0.0,0,h,Tatum REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,4,0-0,0-0,0.0,0,False,0.0,0.0,,0.0
9,PT11M38.00S,1,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,0.0,0.0,0,v,Bona S.FOUL (P1.T1) (S.Foster),Foul,Shooting,1,0,5,0-0,0-0,0.0,0,False,0.0,0.0,,0.0
11,PT11M38.00S,1,1610612738,BOS,1629674,Queta,N. Queta,0,0,0,,0,1.0,0.0,1,h,Queta Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,6,0-1,0-0,1.0,1,True,1.0,0.0,HOME,1.0
12,PT11M38.00S,1,1610612738,BOS,1629674,Queta,N. Queta,0,0,0,,0,1.0,0.0,0,h,MISS Queta Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,1,0,7,0-1,0-1,1.0,1,False,0.0,0.0,,0.0
13,PT11M38.00S,1,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,1.0,0.0,0,v,Oubre Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,8,0-1,0-1,1.0,1,False,0.0,0.0,,0.0
14,PT11M24.00S,1,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,-227,17,0,Missed,1,1.0,0.0,0,v,MISS Edgecombe 3PT Jump Shot,Missed Shot,Jump Shot,1,3,9,0-1,0-1,1.0,1,False,0.0,0.0,,0.0
15,PT11M23.00S,1,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,1.0,0.0,0,h,Tatum REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,10,0-1,0-1,1.0,1,False,0.0,0.0,,0.0
16,PT11M15.00S,1,1610612738,BOS,1630573,Hauser,S. Hauser,9,258,26,Made,1,4.0,0.0,4,h,Hauser 26' 3PT Jump Shot (3 PTS) (Brown 1 AST),Made Shot,Jump Shot,1,3,11,0-4,0-1,4.0,1,False,3.0,0.0,HOME,3.0
18,PT10M57.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,-55,251,26,Made,1,4.0,3.0,7,v,Maxey 26' 3PT Step Back Bank Jump Shot (3 PTS),Made Shot,Step Back Bank Jump Shot,1,3,12,3-4,0-4,1.0,1,False,0.0,3.0,AWAY,3.0
19,PT10M29.00S,1,1610612738,BOS,1627759,Brown,J. Brown,-16,38,4,Missed,1,4.0,3.0,0,h,MISS Brown 4' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,1,2,13,3-4,3-4,1.0,1,False,0.0,0.0,,0.0
20,PT10M28.00S,1,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,4.0,3.0,0,v,Bona REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,14,3-4,3-4,1.0,1,False,0.0,0.0,,0.0
21,PT10M23.00S,1,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,4.0,3.0,0,v,Bona Offensive Charge Foul (P2) (S.Foster),Foul,Offensive Charge,1,0,15,3-4,3-4,1.0,1,False,0.0,0.0,,0.0
23,PT10M23.00S,1,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,4.0,3.0,0,v,Bona Offensive Foul Turnover (P1.T1),Turnover,Offensive Foul Turnover,1,0,16,3-4,3-4,1.0,1,False,0.0,0.0,,0.0
24,PT10M23.00S,1,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,4.0,3.0,0,v,SUB: Drummond FOR Bona,Substitution,,0,0,17,3-4,3-4,1.0,1,False,0.0,0.0,,0.0
